gene_id	reg_type
Tb927.9.4950	decrease
Tb927.6.5010	decrease
Tb927.11.6430	decrease
Tb927.6.3950	decrease
Tb927.2.4445	decrease
Tb927.11.2030	decrease
Tb927.8.890	decrease
Tb927.10.13410	decrease
Tb927.11.220	decrease
Tb927.4.3330	decrease
Tb927.7.1890	decrease
Tb927.9.13150	decrease
Tb927.7.2610	decrease
Tb927.11.15670	decrease
Tb927.2.4440	decrease
Tb927.5.750	decrease
Tb927.9.1950	decrease
Tb927.3.3470	decrease
Tb927.10.9020	decrease
Tb927.8.1810	decrease
Tb927.7.6700	decrease
Tb927.7.4660	decrease
Tb927.10.3950	decrease
Tb927.8.3460	decrease
Tb927.8.4340	decrease
Tb927.5.470	decrease
Tb927.11.16350	decrease
Tb927.8.2780	decrease
Tb927.9.7110	decrease
Tb927.6.4270	decrease
Tb927.3.3940	decrease
Tb927.9.1920	decrease
Tb927.10.310	decrease
Tb927.10.10050	decrease
Tb927.10.14900	decrease
Tb927.7.2760	decrease
Tb927.11.4290	decrease
Tb927.11.9410	decrease
Tb927.10.11600	decrease
Tb927.7.6230	decrease
Tb927.11.3650	decrease
Tb927.10.9150	decrease
Tb927.8.1680	decrease
Tb927.11.6600	decrease
Tb927.5.4100	decrease
Tb927.10.550	decrease
Tb927.4.2730	decrease
Tb927.5.3450	decrease
Tb927.4.550	decrease
Tb927.10.1870	decrease
Tb927.10.15980	decrease
Tb927.7.5480	decrease
Tb927.10.13370	decrease
Tb927.7.3900	decrease
Tb927.3.5090	decrease
Tb927.9.1120	decrease
Tb927.10.10020	decrease
Tb927.2.2590	decrease
Tb927.1.1470	decrease
Tb927.11.9100	decrease
Tb927.9.6470	decrease
Tb927.10.6640	decrease
Tb927.8.1770	decrease
Tb927.11.4870	decrease
Tb927.2.3920	decrease
Tb927.11.4550	decrease
Tb927.10.8050	decrease
Tb927.9.15040	decrease
Tb927.9.5390	decrease
Tb927.7.6440	decrease
Tb927.11.360	decrease
Tb927.3.820	decrease
Tb927.11.4670	decrease
Tb927.10.370	decrease
Tb927.9.9840	decrease
Tb927.11.9140	decrease
Tb927.10.15760	decrease
Tb927.11.16130	decrease
Tb927.3.740	decrease
Tb927.9.3530	decrease
Tb927.3.1780	decrease
